Name,Nearest EDA System,Distance
Col 285 Sector DA-A a30-1,HIP 35096,11.0392587783329
Col 285 Sector DA-A a30-2,HIP 35096,11.609743012336665
Col 285 Sector DA-A a30-3,HIP 35096,12.164401187481445
Col 285 Sector DA-A a30-4,HIP 35096,12.570232383989566
Col 285 Sector DG-Y a30-1,Antai,2.254336099608929
Col 285 Sector DG-Y a30-2,Antai,4.023005134535625
Col 285 Sector DL-Y a30-0,RMK 6,11.627393906740238
Col 285 Sector DL-Y a30-1,RMK 6,10.519234614504992
Col 285 Sector DL-Y a30-2,HIP 35096,11.165393661891192
Col 285 Sector DL-Y a30-3,HIP 35096,11.553966445554531
Col 285 Sector EA-A a30-2,HIP 35096,14.067811496906689
Col 285 Sector EA-A a30-3,HIP 35096,14.477420458251531
Col 285 Sector EA-A a30-7,HIP 35096,15.357809241148296
Col 285 Sector EG-N c7-15,HIP 35096,14.405843269746482
Col 285 Sector EG-Y a30-0,Antai,6.684505754915617
Col 285 Sector EG-Y a30-1,Antai,8.485856799699132
Col 285 Sector EG-Y a30-2,Anukan,8.600054505641229
Col 285 Sector EG-Y a30-3,Antai,5.1873117435720015
Col 285 Sector EL-Y a30-0,HIP 35096,10.954807734506343
Col 285 Sector EL-Y a30-2,HIP 35096,2.8853414550967793
Col 285 Sector EL-Y a30-3,HIP 35096,6.086453965569771
Col 285 Sector EM-W a31-1,Ninhursag,5.745072617034531
Col 285 Sector FG-Y a30-0,HIP 35096,7.794103340025715
Col 285 Sector FG-Y a30-1,HIP 35096,9.616473496037932
Col 285 Sector FG-Y a30-2,Wuy jugun,8.89346670314788
Col 285 Sector FG-Y a30-3,Wuy jugun,6.258899913323427
Col 285 Sector FL-Y a30-0,HIP 35096,3.345939703581043
Col 285 Sector FL-Y a30-1,HIP 35096,4.635756073716562
Col 285 Sector FL-Y a30-2,HIP 35096,6.144579674395963
Col 285 Sector FL-Y a30-3,HIP 35096,14.36636969192287
Col 285 Sector FL-Y a30-4,HIP 35096,8.358075249421962
Col 285 Sector FM-W a31-1,Verner,4.131977999396899
Col 285 Sector FM-W a31-2,Verner,6.132329797882694
Col 285 Sector FR-W a31-0,Uhlan,2.9199943814158273
Col 285 Sector GB-N c7-13,HIP 35096,14.881071502499408
Col 285 Sector GG-Y a30-0,HIP 35096,8.428757044339337
Col 285 Sector GG-Y a30-1,Wuy jugun,8.935369064146148
Col 285 Sector GG-Y a30-2,Wuy jugun,9.561887235268987
Col 285 Sector GG-Y a30-3,HIP 35096,8.386710562699776
Col 285 Sector GL-Y a30-1,HIP 35096,14.71938029436022
Col 285 Sector GL-Y a30-2,HIP 35096,13.372261693988044
Col 285 Sector GM-W a31-2,Uhlan,7.8349676929774255
Col 285 Sector GM-W a31-3,Uhlan,8.324357144849085
Col 285 Sector GR-W a31-0,RMK 6,5.659960799334215
Col 285 Sector GR-W a31-1,RMK 6,4.60415488309201
Col 285 Sector GR-W a31-2,RMK 6,5.834802642335043
Col 285 Sector GS-U a32-1,Hyades Sector RL-H a25-0,14.063923539059077
Col 285 Sector HG-Y a30-0,HIP 35096,11.903296877861193
Col 285 Sector HG-Y a30-1,HIP 35096,12.99951170957971
Col 285 Sector HG-Y a30-2,HIP 35096,11.97833330434581
Col 285 Sector HG-Y a30-3,HIP 35096,10.640842967664733
Col 285 Sector HM-W a31-0,Antai,8.562100811862706
Col 285 Sector HM-W a31-1,Antai,7.196597503334475
Col 285 Sector HM-W a31-2,Luchu,7.5094341705950125
Col 285 Sector HM-W a31-3,Uhlan,4.852210353282306
Col 285 Sector HM-W a31-4,Trumuye,6.725214912922858
Col 285 Sector HR-W a31-0,LTT 2684,10.917436955966359
Col 285 Sector HR-W a31-1,LTT 2684,8.533653507583958
Col 285 Sector HR-W a31-2,HIP 35096,15.76059911218479
Col 285 Sector IG-Y a30-4,HIP 35096,14.931353337859232
Col 285 Sector IM-L c8-14,Arannos,2.9383309994791262
Col 285 Sector IM-W a31-0,Antai,2.6490711815653425
Col 285 Sector IM-W a31-1,Trumuye,4.221758186762951
Col 285 Sector IM-W a31-2,Trumuye,4.296846590815176
Col 285 Sector IR-W a31-0,Wuy jugun,8.386477676146285
Col 285 Sector IR-W a31-2,Wuy jugun,15.555878360365897
Col 285 Sector IR-W a31-3,HIP 35096,10.937098206905706
Col 285 Sector IS-U a32-1,Ninhursag,6.860851919586954
Col 285 Sector IS-U a32-2,Ninhursag,6.0507295531200205
Col 285 Sector IS-U a32-3,Ninhursag,7.2184794321588255
Col 285 Sector IS-U a32-4,Ninhursag,4.13233249811774
Col 285 Sector JM-W a31-0,LTT 2684,3.3774585952310354
Col 285 Sector JM-W a31-1,Arun,4.349703653698721
Col 285 Sector JM-W a31-2,Arun,2.5884735487348522
Col 285 Sector JM-W a31-3,LTT 2684,5.519673620332999
Col 285 Sector JM-W a31-4,LTT 2684,6.217493591673416
Col 285 Sector JM-W a31-5,LTT 2684,5.875498649050989
Col 285 Sector JR-W a31-0,HIP 35096,10.342097677695758
Col 285 Sector JR-W a31-1,HIP 35096,12.026663086658743
Col 285 Sector JR-W a31-2,HIP 35096,13.80758538132211
Col 285 Sector JR-W a31-3,HIP 35096,15.10926997119649
Col 285 Sector JS-U a32-0,CD-62 234,6.854087512207588
Col 285 Sector JX-U a32-0,Arannos,8.456517918889547
Col 285 Sector JX-U a32-3,Dyr,7.3801623881185705
Col 285 Sector KH-L c8-11,RMK 6,9.884538510345337
Col 285 Sector KH-L c8-15,9 G. Carinae,4.903462583980835
Col 285 Sector KH-L c8-17,Arun,7.497786131585777
Col 285 Sector KH-L c8-18,Tabalban,6.440609079310745
Col 285 Sector KM-W a31-0,Wuy jugun,2.6061450818210408
Col 285 Sector KM-W a31-2,Wuy jugun,3.1184305948665907
Col 285 Sector KM-W a31-3,Wuy jugun,3.771552647783138
Col 285 Sector KM-W a31-4,Wuy jugun,5.141076158014001
Col 285 Sector KM-W a31-5,Wuy jugun,10.072636586936907
Col 285 Sector KM-W a31-6,Wuy jugun,2.67712386480342
Col 285 Sector KS-U a32-0,LPM 229,1.5885331283923543
Col 285 Sector KS-U a32-1,LPM 229,3.386121721453616
Col 285 Sector KS-U a32-2,Gyvata Indi,5.162685378027602
Col 285 Sector KS-U a32-3,LPM 229,5.149616945705768
Col 285 Sector KX-U a32-0,Arannos,8.250828556878394
Col 285 Sector KX-U a32-1,Arannos,4.655410998236353
Col 285 Sector KX-U a32-2,Arannos,8.412753060829731
Col 285 Sector KX-U a32-3,Arannos,7.783069566372897
Col 285 Sector LM-W a31-1,HIP 35096,15.751922005742664
Col 285 Sector LM-W a31-3,Wuy jugun,11.568157399733114
Col 285 Sector LM-W a31-4,Wuy jugun,10.646669080045646
Col 285 Sector LS-U a32-0,Luchu,10.502510860503786
Col 285 Sector LS-U a32-1,Luchu,10.501534486088211
Col 285 Sector LX-U a32-0,Arannos,14.377615251233426
Col 285 Sector LX-U a32-1,Arannos,9.890267074882255
Col 285 Sector LX-U a32-2,Arannos,12.054279906427427
Col 285 Sector LX-U a32-3,Arannos,15.427565123019251
Col 285 Sector LY-S a33-0,LHS 1852,15.705200422551124
Col 285 Sector LY-S a33-2,LHS 1852,15.093911748615731
Col 285 Sector MS-U a32-0,Arannos,10.239085271033737
Col 285 Sector MS-U a32-1,RMK 6,10.880476351015153
Col 285 Sector MS-U a32-2,Trumuye,9.096917403714293
Col 285 Sector MS-U a32-3,Trumuye,9.726785263513326
Col 285 Sector MY-S a33-1,Ninhursag,13.924601654984604
Col 285 Sector NS-U a32-0,LTT 2684,4.06982512677142
Col 285 Sector NS-U a32-1,LTT 2684,8.276059694232515
Col 285 Sector NS-U a32-2,LTT 2684,9.480706147882657
Col 285 Sector NS-U a32-3,Naualam,12.033035581784839
Col 285 Sector NS-U a32-4,LTT 2684,8.682102639913905
Col 285 Sector OD-T a33-0,Arannos,12.162072834225258
Col 285 Sector OD-T a33-2,Arannos,12.253387605576672
Col 285 Sector ON-Y b15-5,RMK 6,6.380053144371135
Col 285 Sector OS-U a32-1,Wuy jugun,12.230892304427343
Col 285 Sector OS-U a32-2,Wuy jugun,12.108961686494842
Col 285 Sector OX-Z b14-1,Anukan,14.158491820282272
Col 285 Sector OX-Z b14-6,Anukan,13.606567233325237
Col 285 Sector OY-S a33-1,LHS 1832,4.60415488309201
Col 285 Sector PS-U a32-0,Wuy jugun,13.36850017298126
Col 285 Sector PX-Z b14-4,Langjela,11.60082331399371
Col 285 Sector PY-S a33-0,LHS 1832,6.901228377977358
Col 285 Sector QS-Z b14-5,Zeta Pictoris,13.061976664157688
Col 285 Sector QS-Z b14-6,Zeta Pictoris,13.660146755251205
Col 285 Sector QY-S a33-0,Groanomana,9.197539157975898
Col 285 Sector QY-S a33-1,Groanomana,8.86101450879074
Col 285 Sector QY-S a33-2,Groanomana,8.678390007656951
Col 285 Sector QY-S a33-3,Groanomana,13.018954031046427
Col 285 Sector RD-Y b15-4,Luchu,5.552132191780019
Col 285 Sector RY-S a33-0,Groanomana,11.553417040533938
Col 285 Sector RY-S a33-1,Groanomana,9.208362792185156
Col 285 Sector RY-S a33-2,Groanomana,8.211914933497546
Col 285 Sector RY-S a33-3,Groanomana,7.405920351313536
Col 285 Sector RY-S a33-4,Groanomana,7.190013147588814
Col 285 Sector SD-Y b15-3,Arun,8.392821523480647
Col 285 Sector SD-Y b15-4,Arun,8.034289308177794
Col 285 Sector SD-Y b15-7,Tabalban,2.207276673301288
Col 285 Sector SY-S a33-0,Groanomana,14.170591521263324
Col 285 Sector TD-Y b15-2,Kraung,5.858854143516461
Col 285 Sector TD-Y b15-3,Kraung,5.723870658260894
Col 285 Sector TD-Y b15-4,Kraung,6.358895098600071
Col 285 Sector TD-Y b15-5,Langjela,4.260327525554813
Col 285 Sector TD-Y b15-6,Langjela,10.870194699843237
Col 285 Sector TD-Y b15-7,Tabalban,3.8861985361661593
Col 285 Sector TD-Y b15-8,Langjela,13.475310177320594
Col 285 Sector UE-R a34-0,Groanomana,11.074234595447217
Col 285 Sector UE-R a34-1,Groanomana,11.315003176093235
Col 285 Sector UE-R a34-2,HR 2283,11.643885868772504
Col 285 Sector UT-R d4-68,Kraung,7.446423218566078
Col 285 Sector UT-R d4-69,Mors,7.077900796669871
Col 285 Sector UT-R d4-70,Arun,7.309628175393055
Col 285 Sector UT-R d4-90,Langjela,13.932489289875662
Col 285 Sector VJ-W b16-0,Luchu,3.9612379693727062
Col 285 Sector WJ-W b16-2,Groanomana,3.0551570131500605
Col 285 Sector WJ-W b16-6,Naualam,9.173298973788002
Col 285 Sector WJ-W b16-7,Arun,7.348668565631464
Col 285 Sector WJ-W b16-8,Groanomana,7.021799204085802
Col 285 Sector XJ-W b16-2,Naualam,9.58198586541433
Col 285 Sector XJ-W b16-3,Naualam,8.232106542374193
Col 285 Sector XJ-W b16-6,Naualam,11.876767960497503
Col 285 Sector XJ-W b16-8,Naualam,11.888848832519487
Col 285 Sector XJ-W b16-9,Naualam,14.896583605813785
Col 285 Sector ZE-A a30-0,HIP 35096,15.033621174720347
Col 285 Sector ZE-A a30-1,HIP 35096,9.313863155264844
Col 285 Sector ZE-A a30-2,HIP 35096,10.244567920366384
Col 285 Sector ZZ-Z a29-2,Antai,14.663577592542005
Crucis Sector AQ-P a5-0,Velabri,14.6375813938813
Crucis Sector AQ-P a5-2,Velabri,15.738245861991736
Crucis Sector BQ-P a5-1,Velabri,9.64334696176592
Crucis Sector BV-P a5-1,LP 98-62,15.768961800004464
Crucis Sector BV-P a5-5,LP 98-62,15.587893439300899
Crucis Sector CV-P a5-3,LP 98-62,15.497259082253867
Crucis Sector DL-Y c20,Maka,13.610406462060565
Crucis Sector DL-Y c23,Maka,3.784863975428972
Crucis Sector DL-Y c26,Maka,8.209238793122053
Crucis Sector DQ-P a5-2,Raurugba,14.081688297661612
Crucis Sector DQ-Y b4,Maka,11.948007482944593
Crucis Sector EQ-Y b2,Arannos,15.425571048991996
Crucis Sector EQ-Y b6,Arannos,14.21507507454674
Crucis Sector EQ-Y b8,Arannos,13.43611911509421
Crucis Sector FG-Y c14,Raurugba,10.962649656903206
Crucis Sector FG-Y c15,Velabri,4.90943368042588
Crucis Sector FG-Y c17,HR 2283,6.705947104063676
Crucis Sector FG-Y c18,HR 2283,5.217720706879585
Crucis Sector FG-Y c9,Gcirithang,13.96986852345075
Crucis Sector GW-W b1-2,Gcirithang,14.70129006881709
Crucis Sector GW-W b1-4,Gcirithang,11.449276723880859
Crucis Sector GW-W b1-8,Maka,14.343920205961828
Crucis Sector HW-W b1-6,Maka,2.505852524591182
Crucis Sector HW-W b1-7,Maka,5.495026160083317
Crucis Sector IW-W b1-0,LP 98-62,8.293563957973676
Crucis Sector IW-W b1-3,LP 98-62,10.469915979844346
Crucis Sector IW-W b1-4,LP 98-62,8.40874730563358
Crucis Sector IW-W b1-6,LP 98-62,8.47848840448579
Crucis Sector LW-W a1-1,Dyr,9.050045321019116
Crucis Sector LW-W a1-2,Arannos,9.659182402641541
Crucis Sector MC-V a2-0,LHS 1852,8.782306431114778
Crucis Sector MC-V a2-2,LHS 1852,10.359551751885792
Crucis Sector NC-V a2-0,LHS 1852,5.892344742333055
Crucis Sector NC-V a2-1,LHS 1852,4.731254128135584
Crucis Sector NC-V a2-2,LHS 1852,4.674878842012913
Crucis Sector NC-V a2-3,LHS 1852,3.395338026250111
Crucis Sector OC-V a2-0,Gyvata Indi,5.181283926306297
Crucis Sector OC-V a2-1,Briganu,8.508841908567817
Crucis Sector OC-V a2-2,Gyvata Indi,8.80224358828475
Crucis Sector OC-V a2-3,Gyvata Indi,10.822340175535048
Crucis Sector PC-V a2-0,Briganu,7.612566707425295
Crucis Sector PC-V a2-1,Briganu,10.152835964645543
Crucis Sector PC-V a2-2,Arannos,8.484245510061575
Crucis Sector PC-V a2-3,Briganu,10.196363092421729
Crucis Sector PC-V a2-4,Arannos,10.258285523175887
Crucis Sector PC-V a2-5,Briganu,11.047350148904487
Crucis Sector PX-U a2-0,LHS 1852,5.209104109633441
Crucis Sector PX-U a2-1,LHS 1852,2.9991860875077423
Crucis Sector PX-U a2-2,LHS 1852,4.2814780961135375
Crucis Sector QC-V a2-1,Briganu,11.668684721295712
Crucis Sector QC-V a2-3,Briganu,12.882203688616324
Crucis Sector QC-V a2-4,LP 98-62,13.383211556367925
Crucis Sector QC-V a2-5,Arannos,8.694803584613053
Crucis Sector QI-T a3-1,Gcirithang,11.383967962116724
Crucis Sector QI-T a3-2,Gcirithang,11.483216353117275
Crucis Sector QX-U a2-3,Gyvata Indi,2.302554627473581
Crucis Sector RD-T a3-4,Gcirithang,15.258386525940415
Crucis Sector RI-T a3-0,LHS 1852,4.0605764676951965
Crucis Sector RI-T a3-1,LHS 1852,6.245154371590826
Crucis Sector RI-T a3-2,LHS 1852,6.36465152718513
Crucis Sector RI-T a3-3,Gcirithang,11.319317696972728
Crucis Sector RX-U a2-3,Briganu,7.404139994793454
Crucis Sector SD-T a3-2,Gcirithang,11.960424650174424
Crucis Sector SD-T a3-3,Gcirithang,10.486971083206056
Crucis Sector SD-T a3-4,Gcirithang,6.676977703272642
Crucis Sector SD-T a3-5,Gcirithang,7.576562338884305
Crucis Sector SI-T a3-1,Maka,10.071473095456295
Crucis Sector SI-T a3-2,Maka,11.48032454081765
Crucis Sector TD-T a3-0,Velabri,6.5349869691912925
Crucis Sector TD-T a3-1,Velabri,6.247343185306855
Crucis Sector TD-T a3-3,Velabri,7.75440902809492
Crucis Sector TD-T a3-4,Velabri,7.034096645980918
Crucis Sector TI-T a3-0,Briganu,2.9844977069014478
Crucis Sector TI-T a3-2,Briganu,3.1239060585267286
Crucis Sector UD-T a3-0,Raurugba,6.922351140508549
Crucis Sector UD-T a3-2,Gyvata Indi,9.228543526743534
Crucis Sector UD-T a3-3,Gyvata Indi,8.964448010056168
Crucis Sector UD-T a3-4,Raurugba,7.106610039252189
Crucis Sector UI-T a3-0,Briganu,9.392119785357297
Crucis Sector UI-T a3-1,LP 98-62,9.18930679512878
Crucis Sector UI-T a3-2,LP 98-62,9.560968014537021
Crucis Sector UI-T a3-3,LP 98-62,8.475262717166943
Crucis Sector UO-R a4-1,Gcirithang,9.727688815309627
Crucis Sector UO-R a4-2,Gcirithang,12.444446866474218
Crucis Sector UO-R a4-3,Gcirithang,11.148237669021952
Crucis Sector UO-R a4-4,Gcirithang,10.068951736029923
Crucis Sector VD-T a3-0,Briganu,10.650429128678336
Crucis Sector VD-T a3-1,Briganu,5.362904267978313
Crucis Sector VD-T a3-2,Briganu,5.667719724457094
Crucis Sector VD-T a3-4,HR 2283,10.097715939136929
Crucis Sector VJ-R a4-1,Gcirithang,13.98904426238619
Crucis Sector VO-R a4-0,Gcirithang,2.9759780430137583
Crucis Sector VO-R a4-1,Gcirithang,14.501245905524808
Crucis Sector VO-R a4-2,Gcirithang,10.872844613991317
Crucis Sector VO-R a4-3,Gcirithang,11.157737996005283
Crucis Sector WD-T a3-3,LP 98-62,10.691017330567751
Crucis Sector WD-T a3-4,HR 2283,11.036604578628339
Crucis Sector WJ-R a4-0,Velabri,6.830037632583001
Crucis Sector WJ-R a4-1,Velabri,10.203782999456623
Crucis Sector WJ-R a4-2,Velabri,12.15657133251395
Crucis Sector WJ-R a4-3,Velabri,9.785492290886545
Crucis Sector WO-R a4-0,Velabri,13.905477506633853
Crucis Sector WO-R a4-1,Raurugba,13.856054069431167
Crucis Sector WO-R a4-2,Maka,12.417894409379555
Crucis Sector WO-R a4-3,Maka,10.571649144055057
Crucis Sector WO-R a4-4,Maka,12.790568119223634
Crucis Sector WO-R a4-5,Maka,9.493933095666938
Crucis Sector XJ-R a4-0,Velabri,7.885038244992855
Crucis Sector XJ-R a4-1,Velabri,9.06605533708018
Crucis Sector XJ-R a4-3,Velabri,4.073782410119618
Crucis Sector XO-R a4-0,LP 98-62,11.367356635339634
Crucis Sector XO-R a4-1,LP 98-62,11.319145147713233
Crucis Sector XO-R a4-2,LP 98-62,10.212823204799934
Crucis Sector XO-R a4-3,LP 98-62,9.71774512489909
Crucis Sector XO-R a4-4,LP 98-62,6.991973634997489
Crucis Sector XO-R a4-5,Maka,7.702665427467299
Crucis Sector YE-A d134,Gcirithang,10.937946419461014
Crucis Sector YJ-R a4-0,Raurugba,5.79643276615023
Crucis Sector YJ-R a4-1,Raurugba,8.205966769674369
Crucis Sector YJ-R a4-2,Raurugba,6.380741899458087
Crucis Sector YO-R a4-0,LP 98-62,7.718307173532289
Crucis Sector YO-R a4-1,LP 98-62,9.209211166679804
Crucis Sector YO-R a4-2,LP 98-62,10.568138288033516
Crucis Sector YO-R a4-3,LP 98-62,6.612163271199525
Crucis Sector YO-R a4-4,LP 98-62,7.971323113981769
Crucis Sector ZJ-R a4-0,LP 98-62,12.640653970918594
Crucis Sector ZJ-R a4-1,HR 2283,9.085531079689288
Crucis Sector ZJ-R a4-2,LP 98-62,12.887660644003628
Crucis Sector ZO-R a4-1,LP 98-62,15.790158376738974
Crucis Sector ZO-R a4-2,LP 98-62,14.046449173189643
Crucis Sector ZO-R a4-3,LP 98-62,15.704827333100482
Crucis Sector ZO-R a4-4,LP 98-62,14.345928483806825
Donn,Antai,12.277750773757383
Epsilon Reticuli,Hyades Sector RL-H a25-0,9.83163937563314
Gliese 9209,Naualam,9.427923535301927
HIP 22562,Lutni,6.378522311241061
HIP 28393,Langjela,12.15677216102202
HIP 33324,Wuy jugun,7.487880833386707
HIP 33495,Wuy jugun,3.7693511129238146
Hotas,CPD-59 314,7.474174285498031
HR 1504,HR 1597,3.432667057114628
HR 2354,Shongbon,6.678074549411679
HR 2548,LTT 2581,8.607091915972548
HR 2562,Groanomana,8.645695280022307
Hyades Sector KZ-K a23-2,Triton,9.983971529406523
Hyades Sector LZ-K a23-0,Triton,5.298234523169015
Hyades Sector LZ-K a23-1,Triton,7.1283572134468685
Hyades Sector MF-J a24-1,Hyades Sector RL-H a25-0,14.881169938885854
Hyades Sector MZ-K a23-3,Triton,15.05348537299585
Hyades Sector PF-J a24-1,Triton,6.388007563004289
Hyades Sector PF-J a24-2,Triton,3.4494111816366573
Hyades Sector QF-J a24-0,Triton,9.978394629147516
Hyades Sector QF-J a24-1,Triton,8.909100421058234
Hyades Sector QF-J a24-2,Triton,10.835281275190782
Hyades Sector QF-J a24-3,Triton,12.310516972288369
Hyades Sector RE-G b11-3,Eta-1 Pictoris,15.369028311835462
Hyades Sector TE-G b11-5,Vodyanes,15.121739059628691
Hyades Sector TL-H a25-0,Triton,7.3805593453342
Hyades Sector UE-G b11-3,Mors,12.140534507384755
Hyades Sector VR-F a26-0,Hyades Sector RL-H a25-0,5.854101793827982
Hyades Sector WK-E b12-4,Eta-1 Pictoris,3.2752922102462856
Hyades Sector WK-E b12-5,Eta-1 Pictoris,8.778413687848165
ICZ AA-Z c9,Naunei,5.522150000226361
ICZ AV-X b1-1,San Davokje,6.74775715052787
ICZ AV-X b1-4,Ac Yariu,7.594907319217266
ICZ AV-X b1-5,San Davokje,7.552227010127543
ICZ AV-X b1-6,Ac Yariu,4.266626484999595
ICZ BQ-X b1-0,Ac Yariu,15.580373771992763
ICZ BV-X b1-2,LHS 199,8.856163990408037
ICZ BV-X b1-3,Naunei,8.306741426395792
ICZ BV-X b1-4,Naunei,12.16556519700174
ICZ BV-X b1-5,Naunei,8.009393898729167
ICZ BV-X b1-6,Marya Wang,9.001085004042569
ICZ BV-Y c25,Lutni,10.755131406100997
ICZ BV-Y c26,Lutni,12.760144554921782
ICZ BV-Y c28,Lutni,6.954301164567148
ICZ CG-W b2-1,Albangait,6.026390529371624
ICZ CG-W b2-5,Albangait,15.153672461238562
ICZ CQ-Y d76,Naualam,7.934423616432387
ICZ CV-Y c22,Marya Wang,7.005996315657039
ICZ CV-Y c24,Bhajaja,4.655515881725676
ICZ CV-Y c9,Bhajaja,5.598897770990287
ICZ DG-W b2-2,Albangait,4.838505225015263
ICZ DQ-X b1-2,Marya Wang,13.959273911095806
ICZ EB-W b2-1,Albangait,12.131683080883708
ICZ EB-W b2-4,Albangait,15.19691709072929
ICZ EB-W b2-6,Albangait,6.628021127191735
ICZ GB-X c1-26,Albangait,12.917330292092092
ICZ GB-X c1-27,Albangait,11.195920364690881
ICZ GW-V b2-1,Ac Yariu,13.99361601097086
ICZ SI-B b0,Lutni,12.8112042027672
ICZ TI-B b7,Zeta Pictoris,13.63571109944399
ICZ VT-Z b0,Zeta Pictoris,4.710464580325384
ICZ VT-Z b2,Kanates,6.197356417255667
ICZ WO-Z b4,Shambogi,7.394109247400934
ICZ WO-Z b8,Lutni,5.971694299987233
ICZ XO-Z b1,Bhajaja,12.570737349097705
ICZ XO-Z b2,Kanates,11.46806878085844
ICZ XO-Z b3,Kanates,7.67103164916558
ICZ XO-Z b5,Kanates,3.2424792790394203
ICZ XO-Z b6,Kanates,8.139110343735364
ICZ XZ-X b1-3,CPD-59 314,13.017491237753918
ICZ XZ-X b1-4,CPD-59 314,10.755494598692335
ICZ YJ-Z b0,San Davokje,11.129651415251063
ICZ YJ-Z b2,Lutni,8.793085884659606
ICZ YJ-Z b3,Lutni,9.61134380237748
ICZ YJ-Z b6,Lutni,14.508012333707192
ICZ YO-Z b6,Langjela,12.595649670620409
ICZ ZJ-Z b5,Bhajaja,15.382048689137608
ICZ ZU-X b1-1,CPD-59 314,12.858985793016492
ICZ ZU-X b1-5,Ac Yariu,14.459871736118547
ICZ ZZ-X b1-3,LHS 199,12.623994390643558
LHS 1665,Hyades Sector RL-H a25-0,15.579997693356697
LHS 1751,Ninhursag,4.0931535825082355
LHS 1815,Verner,7.361016934670101
LHS 1904,Gyvata Indi,2.7343303567784196
LHS 1909,Gcirithang,5.44665178114041
LHS 1978,Gcirithang,7.25033673786949
LHS 210,LHS 1852,8.972941093922326
LP 381-4,LTT 2581,13.311069465392329
LTT 1877,Duwaredari,10.013272442114017
LTT 2126,Yota,9.769311804062761
LTT 2361,Mors,6.422768338107797
LTT 2450,Triton,7.833783508784245
LTT 3305,Maka,12.296825365211136
Miaplacidus,LP 98-62,13.892619724605579
Ninhursang,Gcirithang,10.53848045557328
Peela,Triton,2.7708724934576114
Proteus,LTT 2581,9.54563463709983
Puppis Sector AQ-P a5-2,Hyades Sector RL-H a25-0,15.671462170534694
Puppis Sector BF-R a4-1,Triton,11.708704027346494
Puppis Sector BL-P a5-0,Hyades Sector RL-H a25-0,11.782741947972042
Puppis Sector BQ-P a5-1,LTT 2581,12.255021292311165
Puppis Sector BQ-P a5-2,LTT 2581,3.197899701366508
Puppis Sector CL-P a5-0,Hyades Sector RL-H a25-0,10.999067787203604
Puppis Sector CL-P a5-1,Triton,15.6395869410768
Puppis Sector CL-P a5-2,Hyades Sector RL-H a25-0,11.006257098237347
Puppis Sector CL-P a5-3,Hyades Sector RL-H a25-0,12.303772287392189
Puppis Sector CL-P a5-5,Hyades Sector RL-H a25-0,12.646755698102972
Puppis Sector CQ-P a5-0,LTT 2581,7.082935037821539
Puppis Sector CQ-P a5-2,LTT 2581,4.937697780848884
Puppis Sector DL-P a5-0,Triton,6.6566167739325355
Puppis Sector DL-P a5-1,Triton,8.060622358881478
Puppis Sector DL-P a5-2,Triton,6.5292311473097655
Puppis Sector DL-P a5-3,Triton,8.550973080591472
Puppis Sector DL-P a5-4,Triton,11.647617446821474
